FullName,University,JoinYear,SubField,Bachelors,Doctorate
Ariel D. Procaccia,Harvard University,2020,Artificial Intelligence,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Barbara J. Grosz,Harvard University,1986,Machine Learning & Data Mining,Cornell University,"University of California, Berkeley"
Boaz Barak,Harvard University,2016,Algorithms & Complexity,Tel Aviv University,Weizmann Institute of Science
CYNTHIA DWORK,Harvard University,2017,Scientific Computing,Princeton University,Cornell University
David C. Parkes,Harvard University,2001,Artificial Intelligence,University of Oxford,University of Pennsylvania
David D. Cox,Harvard University,2007,Comp. Bio & Bioinformatics,Harvard University,Massachusetts Institute of Technology
David J. Malan,Harvard University,2007,Computer Security,Harvard University,Harvard University
David M. Brooks,Harvard University,1997,Computer Architecture,University of Southern California,Princeton University
Eddie Kohler,Harvard University,2011,Computer Networks,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Elena Glassman,Harvard University,2018,Human-Computer Interaction,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Finale Doshi-Velez,Harvard University,2012,Comp. Bio & Bioinformatics,Massachusetts Institute of Technology,Massachusetts Institute of Technology
H. T. Kung,Harvard University,1992,Computer Networks,National Tsing Hua University,Carnegie Mellon University
Hanspeter Pfister,Harvard University,2007,Computer Graphics,ETH Zurich,Stony Brook University
Harry R. Lewis,Harvard University,1968,Algorithms & Complexity,Harvard University,Harvard University
James H. Waldo,Harvard University,2011,Scientific Computing,,University of Massachusetts Amherst
James Mickens,Harvard University,2015,The Web & Information Retrieval,Georgia Institute of Technology,University of Michigan
Jim Waldo,Harvard University,1973,Economics & Computation,University of Utah,University of Massachusetts Amherst
Jonathan Zittrain,Harvard University,2008,Computer Security,Yale University,Harvard University
Krzysztof Gajos,Harvard University,2009,Human-Computer Interaction,Massachusetts Institute of Technology,University of Washington
Leslie G. Valiant,Harvard University,1982,Algorithms & Complexity,University of Cambridge,University of Warwick
Madhu Sudan,Harvard University,2015,Algorithms & Complexity,Indian Institute of Technology Delhi,"University of California, Berkeley"
Michael D. Smith,Harvard University,1992,Programming Languages,Princeton University,Stanford University
Michael M. Mitzenmacher,Harvard University,1999,Algorithms & Complexity,Harvard University,"University of California, Berkeley"
Michael O. Rabin,Harvard University,1981,Computer Networks,Hebrew University of Jerusalem,Princeton University
Milind Tambe,Harvard University,2019,Artificial Intelligence,Birla Institute of Technology and Science,Carnegie Mellon University
Minlan Yu,Harvard University,2018,Databases,Peking University,Princeton University
Nada Amin,Harvard University,2019,,Massachusetts Institute of Technology,École polytechnique fédérale de Lausanne
Radhika Nagpal,Harvard University,2003,Artificial Intelligence,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Salil P. Vadhan,Harvard University,2016,Cryptography,Harvard University,Massachusetts Institute of Technology
Stephen Chong,Harvard University,2009,Programming Languages,Victoria University of Wellington,Cornell University
Steven J. Gortler,Harvard University,2000,Computer Graphics,Queens College,Princeton University
Stratos Idreos,Harvard University,2014,Databases,Technical University of Crete,University of Amsterdam
Stuart M. Shieber,Harvard University,1989,Natural Language Processing,Harvard University,Stanford University
Susan A. Murphy,Harvard University,2017,Algorithms & Complexity,Louisiana State University,University of North Carolina at Chapel Hill
Yaron Singer,Harvard University,2013,Algorithms & Complexity,Tel Aviv University,"University of California, Berkeley"
Yiling Chen,Harvard University,2008,Artificial Intelligence,Renmin University of China,Pennsylvania State University
Katrina Ligett,Hebrew University of Jerusalem,2010,Algorithms & Complexity,Brown University,Carnegie Mellon University
Ioan Raicu,Illinois Institute of Technology,2011,High-Performance Computing,Wayne State University,University of Chicago
Kyle C. Hale,Illinois Institute of Technology,2016,Operating Systems,University of Texas at Austin,Northwestern University
Lance Fortnow,Illinois Institute of Technology,2012,Algorithms & Complexity,Cornell University,Massachusetts Institute of Technology
Vinod Ganapathy,Indian Institute of Science,2007,Computer Security,Indian Institute of Technology Bombay,University of Wisconsin-Madison
Manoj M. Prabhakaran,Indian Institute of Technology Bombay,2005,Algorithms & Complexity,Indian Institute of Technology Bombay,Princeton University
Rahul Narain,Indian Institute of Technology Delhi,,Computer Graphics,Indian Institute of Technology Delhi,"University of California, Berkeley"
Krishna M. Sivalingam,Indian Institute of Technology Madras,2002,Simulation,"College of Engineering, Guindy",State University of New York
Amr Sabry,Indiana University Bloomington,2000,Programming Languages,Cairo University,Rice University
Andrew Lukefahr,Indiana University Bloomington,2017,Computer Architecture,University of Michigan,University of Michigan
Andrew Lumsdaine,Indiana University Bloomington,2001,High-Performance Computing,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Apu Kapadia,Indiana University Bloomington,1995,The Web & Information Retrieval,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Beth A. Plale,Indiana University Bloomington,1986,The Web & Information Retrieval,Syracuse University,University of Florida
Cenk S. Sahinalp,Indiana University Bloomington,2013,Comp. Bio & Bioinformatics,Bilkent University,University of Maryland
Christopher Raphael,Indiana University Bloomington,2004,Artificial Intelligence,"University of California, Santa Cruz",Brown University
Chung-chieh Shan,Indiana University Bloomington,2015,Programming Languages,Harvard University,Harvard University
D. Martin Swany,Indiana University Bloomington,2011,High-Performance Computing,University of Tennessee,"University of California, Santa Barbara"
Daniel Leivant,Indiana University Bloomington,1991,Theory,Hebrew University of Jerusalem,University of Amsterdam
Daniel P. Friedman,Indiana University Bloomington,1973,Programming Languages,University of Texas at Austin,University of Texas at Austin
David J. Crandall,Indiana University Bloomington,2004,Computer Vision,Pennsylvania State University,Cornell University
Dirk Van Gucht,Indiana University Bloomington,1954,Machine Learning & Data Mining,Bar-Ilan University,Vanderbilt University
Donald S. Williamson,Indiana University Bloomington,1952,Algorithms & Complexity,Aristotle University of Thessaloniki,Brandeis University
Douglas Hofstadter,Indiana University Bloomington,1988,Artificial Intelligence,Stanford University,University of Oregon
Eduardo J. Izquierdo,Indiana University Bloomington,2017,Computer Networks,Simón Bolívar University,University of Sussex
Erik Stolterman,Indiana University Bloomington,1954,Comp. Bio & Bioinformatics,Aristotle University of Thessaloniki,Brandeis University
Esfandiar Haghverdi,Indiana University Bloomington,2008,Algorithms & Complexity,Hacettepe University,University of Ottawa
Filippo Menczer,Indiana University Bloomington,2011,Computer Networks,Sapienza University of Rome,"University of California, San Diego"
Funda Ergün,Indiana University Bloomington,2014,Databases,Bilkent University,Cornell University
Geoffrey Brown,Indiana University Bloomington,2003,Databases,Swarthmore College,University of Texas at Austin
Geoffrey C. Fox,Indiana University Bloomington,2011,Algorithms & Complexity,University of Cambridge,University of Cambridge
Gregory J. E. Rawlins,Indiana University Bloomington,1987,Human-Computer Interaction,University of the West Indies,University of Waterloo
Grigory Yaroslavtsev,Indiana University Bloomington,2014,Machine Learning & Data Mining,,
Haixu Tang,Indiana University Bloomington,2004,Comp. Bio & Bioinformatics,Nanjing University,Shanghai Institute of Biochemistry
Hamid R. Ekbia,Indiana University Bloomington,,,,
Jeffrey Bardzell,Indiana University Bloomington,,,,
Jeremy G. Siek,Indiana University Bloomington,2013,Programming Languages,University of Notre Dame,Indiana University Bloomington
Judy Qiu,Indiana University Bloomington,2010,Databases,Beihang University,Syracuse University
Katie Moor,Indiana University Bloomington,,,,
Katy Börner,Indiana University Bloomington,,,,
Kay Connelly,Indiana University Bloomington,2003,Human-Computer Interaction,Indiana University Bloomington,University of Illinois at Urbana-Champaign
L. Jean Camp,Indiana University Bloomington,2004,Computer Security,University of North Carolina at Charlotte,Carnegie Mellon University
Luyi Xing,Indiana University Bloomington,,,,
Martin A. Siegel,Indiana University Bloomington,,,,
Matthew W. Hahn,Indiana University Bloomington,2014,Comp. Bio & Bioinformatics,Cornell University,Duke University
Mehmet M. Dalkilic,Indiana University Bloomington,2007,Machine Learning & Data Mining,Indiana University Bloomington,Indiana University Bloomington
Michael A. McRobbie,Indiana University Bloomington,1997,Theory,University of Queensland,Australian National University
Minaxi Gupta,Indiana University Bloomington,2004,Computer Security,University of Mumbai,Georgia Institute of Technology
Norman Makoto Su,Indiana University Bloomington,,,,
Patrick C. Shih,Indiana University Bloomington,,,,
Paul W. Purdom,Indiana University Bloomington,1982,Machine Learning & Data Mining,California Institute of Technology,California Institute of Technology
Qin Zhang,Indiana University Bloomington,2013,Machine Learning & Data Mining,Fudan University,Hong Kong University of Science and Technology
Raj Acharya,Indiana University Bloomington,2009,Comp. Bio & Bioinformatics,University of Minnesota,University of Minnesota
Randall Bramley,Indiana University Bloomington,1989,High-Performance Computing,University of Texas at Arlington,University of Illinois at Urbana-Champaign
Randall D. Beer,Indiana University Bloomington,2006,Comp. Bio & Bioinformatics,Case Western Reserve University,Case Western Reserve University
Raquel Hill,Indiana University Bloomington,2007,Computer Security,Georgia Institute of Technology,Harvard University
Roni Khardon,Indiana University Bloomington,2000,Machine Learning & Data Mining,Technion - Israel Institute of Technology,Harvard University
Ryan Henry,Indiana University Bloomington,2014,Computer Security,Brandon University,University of Waterloo
Ryan Newton,Indiana University Bloomington,2011,Programming Languages,Indiana University Bloomington,Massachusetts Institute of Technology
